#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 251805.00        	 6.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 249518.00        	 8.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 100000       	 257587.00        	 5.000000   	 0.04           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 970413.00        	 11.000000  	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 1010543.00       	 8.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 934120.00        	 9.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 1011113.00       	 8.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 930645.00        	 10.000000  	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 998728.00        	 8.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 931973.00        	 11.000000  	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 1016508.00       	 10.000000  	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 1005437.00       	 9.000000   	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 930040.00        	 10.000000  	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1011327.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1035075.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1032602.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1031286.00       	 7.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1023760.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1000690.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1040792.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1035677.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1033095.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 1018543.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1290021.00       	 7.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
